modelId,model_size,author,license,language,pipeline_tag,downloads,likes,gated,createdAt,lastModified,usedStorage,model_type,performance_mmlu,performance_gsm8k,performance_arc,cost_per_million_tokens,ranking_overall
bigscience/bloomz-560m,,bigscience,bigscience-bloom-rail-1.0,"['ak', 'ar', 'as', 'bm', 'bn', 'ca', 'code', 'en', 'es', 'eu', 'fon', 'fr', 'gu', 'hi', 'id', 'ig', 'ki', 'kn', 'lg', 'ln', 'ml', 'mr', 'ne', 'nso', 'ny', 'or', 'pa', 'pt', 'rn', 'rw', 'sn', 'st', 'sw', 'ta', 'te', 'tn', 'ts', 'tum', 'tw', 'ur', 'vi', 'wo', 'xh', 'yo', 'zh', 'zu']",text-generation,3110672,129,False,2022-10-08T16:14:42.000Z,2023-05-27T17:27:11.000Z,2797455940,bloom,,,,,
context-labs/meta-llama-Llama-3.2-3B-Instruct-FP16,3B,context-labs,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,2842768,7,False,2025-02-22T01:43:43.000Z,2025-02-22T04:09:45.000Z,12853298144,llama,,,,,
distilbert/distilgpt2,,distilbert,apache-2.0,en,text-generation,2618697,589,False,2022-03-02T23:29:04.000Z,2024-02-19T11:09:53.000Z,8079459096,gpt2,,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,32B,deepseek-ai,mit,,text-generation,2612738,1457,False,2025-01-20T09:19:00.000Z,2025-02-24T03:31:29.000Z,65527841532,qwen2,,,,,
Qwen/Qwen3-4B-Instruct-2507,4B,Qwen,apache-2.0,,text-generation,2558416,398,False,2025-08-05T10:58:03.000Z,2025-09-17T06:56:53.000Z,64383326441,qwen3,,,,,
Qwen/Qwen3-8B,8B,Qwen,apache-2.0,,text-generation,2175518,683,False,2025-04-27T03:42:21.000Z,2025-07-26T03:49:13.000Z,16392939430,qwen3,,,,,
Qwen/Qwen2.5-7B,7B,Qwen,apache-2.0,['en'],text-generation,2135742,233,False,2024-09-15T12:17:40.000Z,2024-09-25T12:32:32.000Z,15231271888,qwen2,,,,,
meta-llama/Llama-3.2-3B-Instruct,3B,meta-llama,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,1885412,1767,manual,2024-09-18T15:19:20.000Z,2024-10-24T15:07:29.000Z,12853298144,llama,,,,,
petals-team/StableBeluga2,,petals-team,,['en'],text-generation,1823792,20,False,2023-08-12T22:04:01.000Z,2023-08-23T18:00:41.000Z,551815602022,llama,,,,,
mistralai/Mistral-7B-Instruct-v0.2,7B,mistralai,apache-2.0,,text-generation,1797477,2984,False,2023-12-11T13:18:44.000Z,2025-07-24T16:57:21.000Z,29496005526,mistral,,,,,
meta-llama/Meta-Llama-3-8B,8B,meta-llama,llama3,['en'],text-generation,1680089,6346,manual,2024-04-17T09:35:16.000Z,2024-09-27T15:52:33.000Z,48183894272,llama,,,,,
Qwen/Qwen2.5-0.5B-Instruct,0.5B,Qwen,apache-2.0,['en'],text-generation,1641631,377,False,2024-09-16T11:52:46.000Z,2024-09-25T12:32:56.000Z,3521294868,qwen2,,,,,
meta-llama/Llama-3.2-1B,1B,meta-llama,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,1621070,2116,manual,2024-09-18T15:03:14.000Z,2024-10-24T15:08:03.000Z,5142244878,llama,,,,,
Qwen/Qwen3-30B-A3B-Instruct-2507,30B,Qwen,apache-2.0,,text-generation,1594209,620,False,2025-07-28T07:31:27.000Z,2025-09-17T06:56:43.000Z,61079824827,qwen3_moe,,,,,
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,70B,RedHatAI,llama3.3,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,1560863,11,False,2024-12-11T15:44:06.000Z,2025-09-22T20:28:26.000Z,72687164723,llama,,,,,
Qwen/Qwen3-4B,4B,Qwen,apache-2.0,,text-generation,1472476,416,False,2025-04-27T03:41:29.000Z,2025-07-26T03:46:39.000Z,8056404654,qwen3,,,,,
Qwen/Qwen2.5-14B-Instruct,14B,Qwen,apache-2.0,['en'],text-generation,1443404,276,False,2024-09-16T11:56:10.000Z,2024-09-25T12:33:04.000Z,29540134000,qwen2,,,,,
microsoft/Phi-3-mini-4k-instruct,,microsoft,mit,"['en', 'fr']",text-generation,1405263,1308,False,2024-04-22T16:18:17.000Z,2024-09-20T18:09:38.000Z,15284863483,phi3,,,,,
Qwen/Qwen3-Next-80B-A3B-Thinking,80B,Qwen,apache-2.0,,text-generation,1346579,428,False,2025-09-09T15:45:31.000Z,2025-09-15T09:12:48.000Z,162670584182,qwen3_next,,,,,
allenai/OLMo-2-0425-1B,1B,allenai,apache-2.0,['en'],text-generation,1169728,64,False,2025-04-17T22:45:45.000Z,2025-05-28T20:35:45.000Z,1591836263936,olmo2,,,,,
Qwen/Qwen3-1.7B,1.7B,Qwen,apache-2.0,,text-generation,1148387,288,False,2025-04-27T03:41:05.000Z,2025-07-26T03:46:32.000Z,4074938246,qwen3,,,,,
inference-net/Schematron-3B,3B,inference-net,llama3.2,,text-generation,1064565,37,False,2025-08-21T19:15:21.000Z,2025-09-09T08:30:16.000Z,6442934619,llama,,,,,
meta-llama/Llama-2-7b-hf,7B,meta-llama,llama2,['en'],text-generation,1041481,2168,manual,2023-07-13T16:16:13.000Z,2024-04-17T08:40:16.000Z,53909360564,llama,,,,,
unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,8B,unsloth,llama3.1,['en'],text-generation,957350,85,False,2024-07-23T16:09:09.000Z,2025-02-15T10:31:16.000Z,5719956303,llama,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,8B,meta-llama,llama3,['en'],text-generation,954230,4227,manual,2024-04-17T09:35:12.000Z,2025-06-18T23:49:51.000Z,62143070226,llama,,,,,
Qwen/Qwen2.5-0.5B,0.5B,Qwen,apache-2.0,['en'],text-generation,917631,314,False,2024-09-15T12:15:39.000Z,2024-09-25T12:32:36.000Z,988097824,qwen2,,,,,
microsoft/phi-4,,microsoft,mit,['en'],text-generation,912720,2175,False,2024-12-11T11:47:29.000Z,2025-02-24T11:53:58.000Z,29319042992,phi3,,,,,
Qwen/Qwen2.5-32B-Instruct-AWQ,32B,Qwen,apache-2.0,['en'],text-generation,912650,87,False,2024-09-17T13:56:47.000Z,2024-10-09T12:26:37.000Z,19328993904,qwen2,,,,,
openai-community/gpt2-large,,openai-community,mit,en,text-generation,857603,334,False,2022-03-02T23:29:04.000Z,2024-02-19T11:11:02.000Z,22915697059,gpt2,,,,,
KomeijiForce/bart-large-emojilm,,KomeijiForce,,['en'],text-generation,847772,0,False,2023-11-06T02:18:38.000Z,2023-11-10T22:21:05.000Z,3269238401,bart,,,,,
Qwen/Qwen3-14B,14B,Qwen,apache-2.0,,text-generation,834579,291,False,2025-04-27T03:42:45.000Z,2025-07-26T03:49:23.000Z,29548088294,qwen3,,,,,
meta-llama/Llama-3.1-70B-Instruct,70B,meta-llama,llama3.1,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,825988,854,manual,2024-07-16T16:07:46.000Z,2024-12-15T01:55:33.000Z,282237450046,llama,,,,,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,deepseek-ai,mit,,text-generation,824391,815,False,2025-01-20T09:09:42.000Z,2025-02-24T03:32:07.000Z,16060556354,llama,,,,,
mlx-community/gpt-oss-20b-MXFP4-Q8,20B,mlx-community,apache-2.0,,text-generation,805055,13,False,2025-08-29T17:57:36.000Z,2025-08-29T17:59:45.000Z,12104075742,gpt_oss,,,,,
meta-llama/Llama-3.1-405B-Instruct,405B,meta-llama,llama3.1,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,797120,581,manual,2024-07-16T18:24:44.000Z,2024-09-25T17:02:11.000Z,3035854528726,llama,,,,,
meta-llama/Llama-2-7b-chat-hf,7B,meta-llama,llama2,['en'],text-generation,762803,4614,manual,2023-07-13T16:45:23.000Z,2024-04-17T08:40:48.000Z,53908103645,llama,,,,,
meta-llama/Meta-Llama-3-70B-Instruct,70B,meta-llama,llama3,['en'],text-generation,747249,1493,manual,2024-04-17T09:34:54.000Z,2025-06-18T23:49:26.000Z,282237450046,llama,,,,,
meta-llama/Llama-3.3-70B-Instruct,70B,meta-llama,llama3.3,"['en', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'de']",text-generation,701339,2537,manual,2024-11-26T16:08:47.000Z,2024-12-21T18:28:01.000Z,282254659966,llama,,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,deepseek-ai,mit,,text-generation,692517,1360,False,2025-01-20T09:04:18.000Z,2025-02-24T03:32:35.000Z,3555721410,qwen2,,,,,
codellama/CodeLlama-34b-hf,34B,codellama,llama2,['code'],text-generation,691327,176,False,2023-08-24T16:34:39.000Z,2024-04-12T14:16:52.000Z,135238724250,llama,,,,,
microsoft/phi-2,,microsoft,mit,['en'],text-generation,650725,3400,False,2023-12-13T21:19:59.000Z,2024-04-29T16:25:56.000Z,11125567216,phi,,,,,
google/gemma-2-2b-it,2B,google,gemma,,text-generation,650496,1202,manual,2024-07-16T10:51:39.000Z,2024-08-27T19:41:44.000Z,5288159306,gemma2,,,,,
unsloth/Meta-Llama-3.1-8B-Instruct,8B,unsloth,llama3.1,['en'],text-generation,649828,88,False,2024-07-23T16:24:05.000Z,2025-02-15T10:24:46.000Z,16077766296,llama,,,,,
Qwen/Qwen3-Coder-30B-A3B-Instruct,30B,Qwen,apache-2.0,,text-generation,644595,688,False,2025-07-31T07:04:55.000Z,2025-08-21T10:18:32.000Z,61066575656,qwen3_moe,,,,,
Qwen/Qwen3-32B-AWQ,32B,Qwen,apache-2.0,,text-generation,641062,110,False,2025-05-01T10:38:33.000Z,2025-05-21T06:17:51.000Z,19336904398,qwen3,,,,,
Qwen/Qwen2.5-32B-Instruct,32B,Qwen,apache-2.0,['en'],text-generation,637350,302,False,2024-09-17T04:17:55.000Z,2024-09-25T12:33:09.000Z,65527841856,qwen2,,,,,
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB,apache-2.0,['en'],text-generation,624928,135,False,2024-10-31T00:46:04.000Z,2025-02-06T10:34:41.000Z,269060552,llama,,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,deepseek-ai,mit,,text-generation,605450,729,False,2025-01-20T09:16:14.000Z,2025-02-24T03:32:20.000Z,15231404337,qwen2,,,,,
microsoft/DialoGPT-medium,,microsoft,mit,,text-generation,598062,420,False,2022-03-02T23:29:05.000Z,2024-02-29T15:48:54.000Z,7919339951,gpt2,,,,,
meta-llama/Llama-Guard-3-1B,1B,meta-llama,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,562442,90,manual,2024-09-20T16:04:40.000Z,2024-09-26T21:23:14.000Z,8467822122,llama,,,,,
meta-llama/Llama-3.1-8B,8B,meta-llama,llama3.1,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,555636,1864,manual,2024-07-14T22:20:15.000Z,2024-10-16T22:00:37.000Z,32350119302,llama,,,,,
deepseek-ai/DeepSeek-R1-0528,,deepseek-ai,mit,,text-generation,555430,2381,False,2025-05-28T09:46:42.000Z,2025-05-29T11:37:44.000Z,688588119234,deepseek_v3,,,,,
deepseek-ai/DeepSeek-R1,,deepseek-ai,mit,,text-generation,529954,12786,False,2025-01-20T03:46:07.000Z,2025-03-27T04:01:59.000Z,688624501744,deepseek_v3,,,,,
deepseek-ai/DeepSeek-V3.1,,deepseek-ai,mit,,text-generation,526565,784,False,2025-08-21T02:37:52.000Z,2025-09-05T11:30:15.000Z,688595361908,deepseek_v3,,,,,
kaitchup/Phi-3-mini-4k-instruct-gptq-4bit,4B,kaitchup,,,text-generation,500895,2,False,2024-04-25T06:48:14.000Z,2024-04-25T06:49:29.000Z,2281959203,phi3,,,,,
Qwen/Qwen2-0.5B,0.5B,Qwen,apache-2.0,['en'],text-generation,482021,154,False,2024-05-31T08:38:11.000Z,2024-10-22T13:47:30.000Z,7342283550,qwen2,,,,,
unsloth/Qwen3-30B-A3B-GGUF,30B,unsloth,apache-2.0,['en'],text-generation,476797,255,False,2025-04-28T13:48:41.000Z,2025-06-08T08:10:02.000Z,2656278224772,qwen3_moe,,,,,
Qwen/Qwen3-8B-Base,8B,Qwen,apache-2.0,,text-generation,470499,61,False,2025-04-28T05:03:58.000Z,2025-05-21T05:59:01.000Z,16381516776,qwen3,,,,,
Qwen/Qwen2.5-7B-Instruct-AWQ,7B,Qwen,apache-2.0,['en'],text-generation,458273,29,False,2024-09-17T13:55:09.000Z,2024-10-09T12:26:45.000Z,5570829760,qwen2,,,,,
xihc-ucb/Qwen3-8B-train-Quasar-0809,8B,xihc-ucb,,,text-generation,448344,0,False,2025-08-10T01:54:06.000Z,2025-08-20T01:52:14.000Z,16392939406,fp8_qwen3,,,,,
lmstudio-community/Qwen3-4B-Thinking-2507-MLX-4bit,4B,lmstudio-community,apache-2.0,,text-generation,428362,9,False,2025-08-06T15:21:28.000Z,2025-08-06T15:22:07.000Z,2274445183,qwen3,,,,,
apple/OpenELM-1_1B-Instruct,1B,apple,apple-amlr,,text-generation,428096,67,False,2024-04-12T21:52:12.000Z,2025-02-28T18:31:24.000Z,2159808696,openelm,,,,,
HuggingFaceTB/SmolLM-135M,,HuggingFaceTB,apache-2.0,['en'],text-generation,424062,229,False,2024-07-14T21:45:18.000Z,2024-08-01T20:12:34.000Z,1973556477,llama,,,,,
lmstudio-community/Qwen3-4B-Thinking-2507-MLX-8bit,4B,lmstudio-community,apache-2.0,,text-generation,419726,7,False,2025-08-06T15:24:43.000Z,2025-08-06T15:25:32.000Z,4285581641,qwen3,,,,,
