model,model_type,rank,model_size,author,license,downloads,likes,usedstorage,average,ifeval,bbh,math,gpqa,musr,mmlu-pro,co₂ cost,created_at,last_modified,model_scope,access type,score_per_billion,score_per_co2
meta-llama/llama-3.1-70b-instruct,llama,62,70.0,meta-llama,llama3.1,724992,856,282237450046,43.41,86.69,55.93,38.07,14.21,17.69,47.88,40.22,2024-07-16,2024-12-15,chat/dialogue,proprietary,0.62,1.08
qwen/qwen2.5-14b-instruct,qwen2,148,14.0,Qwen,apache-2.0,695475,280,29540134000,41.56,84.14,45.66,53.02,12.42,11.35,42.77,3.28,2024-09-16,2024-09-25,fine_tuned,open-source,2.97,12.67
qwen/qwen2.5-14b-instruct,qwen2,148,14.0,Qwen,apache-2.0,695475,280,29540134000,41.56,84.14,45.66,53.02,12.42,11.35,42.77,3.28,2024-09-16,2024-09-25,fine_tuned,open-source,2.97,12.67
qwen/qwen2-0.5b,qwen2,4037,0.5,Qwen,apache-2.0,686620,157,7342283550,7.22,18.73,7.92,2.64,1.45,4.6,8.0,2.63,2024-05-31,2024-10-22,pretrained,open-source,14.44,2.75
deepseek-ai/deepseek-r1-distill-qwen-7b,qwen2,3310,7.0,deepseek-ai,mit,677957,741,15231404337,14.99,40.38,7.88,19.56,3.91,3.55,14.68,1.37,2025-01-20,2025-02-24,chat/dialogue,open-source,2.14,10.94
deepseek-ai/deepseek-r1-distill-llama-8b,llama,3507,8.0,deepseek-ai,mit,644672,818,16060556354,13.06,37.82,5.33,21.98,0.67,0.46,12.1,1.48,2025-01-20,2025-02-24,fine_tuned,open-source,1.63,8.82
huggingfacetb/smollm-135m,llama,4065,1.7,HuggingFaceTB,apache-2.0,637760,138,269060552,6.95,21.25,3.29,1.36,1.12,13.34,1.36,0.69,2024-10-31,2025-02-06,pretrained,open-source,4.09,10.07
meta-llama/llama-2-7b-hf,llama,3798,7.0,meta-llama,llama2,619489,2185,53909360564,8.81,25.19,10.35,1.74,2.24,3.76,9.57,1.13,2023-07-13,2024-04-17,pretrained,proprietary,1.26,7.8
microsoft/dialogpt-medium,gpt2,4251,,microsoft,mit,612361,422,7919339951,5.25,14.79,2.56,0.0,0.56,12.28,1.32,0.26,2022-03-02,2024-02-29,chat/dialogue,open-source,,20.19
qwen/qwen2.5-7b-instruct,qwen2,623,7.0,Qwen,apache-2.0,588146,32,5570829760,35.2,75.85,34.89,50.0,5.48,8.45,36.52,3.24,2024-09-17,2024-10-09,chat/dialogue,open-source,5.03,10.86
