model,model_type,rank,type,model_size,author,license,language,pipeline_tag,downloads,likes,gated,createdat,lastmodified,usedstorage,average,ifeval,bbh,math,gpqa,musr,mmlu-pro,co₂ cost
deepseek-ai/deepseek-r1-distill-qwen-1.5b,qwen2,3710,chat,1.5,deepseek-ai,mit,,text-generation,679870,1360,False,2025-01-20T09:04:18.000Z,2025-02-24T03:32:35.000Z,3555721410,10.35,34.63,4.73,16.92,0.78,2.97,2.08,1.24
microsoft/phi-2,phi,3250,open-source,3.0,microsoft,mit,['en'],text-generation,662363,3399,False,2023-12-13T21:19:59.000Z,2024-04-29T16:25:56.000Z,11125567216,15.53,27.39,28.04,2.95,2.91,13.84,18.09,0.85
google/gemma-2-2b-it,gemma2,3062,proprietary,2.0,google,gemma,,text-generation,618455,1203,manual,2024-07-16T10:51:39.000Z,2024-08-27T19:41:44.000Z,5288159306,17.05,56.68,17.98,0.08,3.24,7.08,17.22,1.23
qwen/qwen2.5-32b-instruct,qwen2,22,chat,32.0,Qwen,apache-2.0,['en'],text-generation,615588,302,False,2024-09-17T04:17:55.000Z,2024-09-25T12:33:09.000Z,65527841856,46.6,83.46,56.49,62.54,11.74,13.5,51.85,11.5
microsoft/dialogpt-medium,gpt2,4251,chat,0.147,microsoft,mit,,text-generation,613488,420,False,2022-03-02T23:29:05.000Z,2024-02-29T15:48:54.000Z,7919339951,5.25,14.79,2.56,0.0,0.56,12.28,1.32,0.26
deepseek-ai/deepseek-r1-distill-qwen-7b,qwen2,3310,chat,7.0,deepseek-ai,mit,,text-generation,603190,729,False,2025-01-20T09:16:14.000Z,2025-02-24T03:32:20.000Z,15231404337,14.99,40.38,7.88,19.56,3.91,3.55,14.68,1.37
qwen/qwen2-0.5b,qwen2,4037,open-source,0.5,Qwen,apache-2.0,['en'],text-generation,474659,154,False,2024-05-31T08:38:11.000Z,2024-10-22T13:47:30.000Z,7342283550,7.22,18.73,7.92,2.64,1.45,4.6,8.0,2.63
huggingfacetb/smollm-135m,llama,4065,open-source,1.7,HuggingFaceTB,apache-2.0,['en'],text-generation,428973,229,False,2024-07-14T21:45:18.000Z,2024-08-01T20:12:34.000Z,1973556477,6.95,21.25,3.29,1.36,1.12,13.34,1.36,0.69
dicta-il/dictalm2.0-instruct,mistral,3088,chat,7.0,dicta-il,apache-2.0,"['en', 'he']",text-generation,389989,24,False,2024-04-14T02:35:16.000Z,2024-07-10T16:09:58.000Z,14502885120,16.78,44.12,19.69,2.27,7.05,9.72,17.83,1.3
qwen/qwen2-1.5b-instruct,qwen2,3404,chat,1.5,Qwen,apache-2.0,['en'],text-generation,381489,151,False,2024-06-03T09:08:12.000Z,2024-06-06T14:36:57.000Z,20279235336,14.14,33.71,13.7,7.18,1.57,12.03,16.68,1.32
mistralai/mistral-7b-v0.1,mistral,3352,open-source,7.0,mistralai,apache-2.0,['en'],text-generation,363814,3990,False,2023-09-20T13:03:50.000Z,2025-07-24T16:44:02.000Z,44007786287,14.58,23.86,22.02,2.95,5.59,10.68,22.36,0.78
